disease,window,burden_clause,t_alert,asymmetry_ratio,t_calm,gate,n_alert,n_calm,n_hold_watch,n_hold_monitor,n_hold_uncertainty
covid,November 30 - December 27,off,1.0,1.0,1.0,FAIL (counterfactual counts),14,0,11,6,20
covid,November 30 - December 27,off,1.0,1.25,1.25,FAIL (counterfactual counts),14,0,9,8,20
covid,November 30 - December 27,off,1.0,1.5,1.5,FAIL (counterfactual counts),14,0,7,10,20
covid,November 30 - December 27,off,1.0,2.0,2.0,FAIL (counterfactual counts),14,0,5,12,20
covid,November 30 - December 27,off,1.0,3.0,3.0,FAIL (counterfactual counts),14,0,2,15,20
covid,November 30 - December 27,off,1.25,1.0,1.25,FAIL (counterfactual counts),10,0,9,12,20
covid,November 30 - December 27,off,1.25,1.25,1.5625,FAIL (counterfactual counts),10,0,7,14,20
covid,November 30 - December 27,off,1.25,1.5,1.875,FAIL (counterfactual counts),10,0,6,15,20
covid,November 30 - December 27,off,1.25,2.0,2.5,FAIL (counterfactual counts),10,0,3,18,20
covid,November 30 - December 27,off,1.25,3.0,3.75,FAIL (counterfactual counts),10,0,0,21,20
covid,November 30 - December 27,off,1.5,1.0,1.5,FAIL (counterfactual counts),8,0,7,16,20
covid,November 30 - December 27,off,1.5,1.25,1.875,FAIL (counterfactual counts),8,0,6,17,20
covid,November 30 - December 27,off,1.5,1.5,2.25,FAIL (counterfactual counts),8,0,4,19,20
covid,November 30 - December 27,off,1.5,2.0,3.0,FAIL (counterfactual counts),8,0,2,21,20
covid,November 30 - December 27,off,1.5,3.0,4.5,FAIL (counterfactual counts),8,0,0,23,20
covid,December 28 - January 31,off,0.25,1.0,0.25,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.25,1.25,0.3125,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.25,1.5,0.375,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.25,2.0,0.5,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.25,3.0,0.75,FAIL (counterfactual counts),14,0,13,1,23
covid,December 28 - January 31,off,0.5,1.0,0.5,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.5,1.25,0.625,FAIL (counterfactual counts),14,0,14,0,23
covid,December 28 - January 31,off,0.5,1.5,0.75,FAIL (counterfactual counts),14,0,13,1,23
covid,December 28 - January 31,off,0.5,2.0,1.0,FAIL (counterfactual counts),14,0,13,1,23
covid,December 28 - January 31,off,0.5,3.0,1.5,FAIL (counterfactual counts),14,0,8,6,23
covid,December 28 - January 31,off,0.75,1.0,0.75,FAIL (counterfactual counts),13,0,13,2,23
covid,December 28 - January 31,off,0.75,1.25,0.9375,FAIL (counterfactual counts),13,0,13,2,23
covid,December 28 - January 31,off,0.75,1.5,1.125,FAIL (counterfactual counts),13,0,11,4,23
covid,December 28 - January 31,off,0.75,2.0,1.5,FAIL (counterfactual counts),13,0,8,7,23
covid,December 28 - January 31,off,0.75,3.0,2.25,FAIL (counterfactual counts),13,0,3,12,23
covid,December 28 - January 31,off,1.0,1.0,1.0,FAIL (counterfactual counts),11,0,13,4,23
covid,December 28 - January 31,off,1.0,1.25,1.25,FAIL (counterfactual counts),11,0,9,8,23
covid,December 28 - January 31,off,1.0,1.5,1.5,FAIL (counterfactual counts),11,0,8,9,23
covid,December 28 - January 31,off,1.0,2.0,2.0,FAIL (counterfactual counts),11,0,4,13,23
covid,December 28 - January 31,off,1.0,3.0,3.0,FAIL (counterfactual counts),11,0,2,15,23
covid,December 28 - January 31,off,1.25,1.0,1.25,FAIL (counterfactual counts),10,0,9,9,23
covid,December 28 - January 31,off,1.25,1.25,1.5625,FAIL (counterfactual counts),10,0,8,10,23
covid,December 28 - January 31,off,1.25,1.5,1.875,FAIL (counterfactual counts),10,0,4,14,23
covid,December 28 - January 31,off,1.25,2.0,2.5,FAIL (counterfactual counts),10,0,3,15,23
covid,December 28 - January 31,off,1.25,3.0,3.75,FAIL (counterfactual counts),10,0,0,18,23
covid,December 28 - January 31,off,1.5,1.0,1.5,FAIL (counterfactual counts),8,0,8,12,23
covid,December 28 - January 31,off,1.5,1.25,1.875,FAIL (counterfactual counts),8,0,4,16,23
covid,December 28 - January 31,off,1.5,1.5,2.25,FAIL (counterfactual counts),8,0,3,17,23
covid,December 28 - January 31,off,1.5,2.0,3.0,FAIL (counterfactual counts),8,0,2,18,23
covid,December 28 - January 31,off,1.5,3.0,4.5,FAIL (counterfactual counts),8,0,0,20,23
