disease,state,window,epiweeks,burden_mean,burden_max,nweeks
covid,ct,December 28 - January 31,202601-202605,0.9420000000000002,1.11,5
covid,dc,December 28 - January 31,202601-202605,0.434,0.52,5
covid,de,December 28 - January 31,202601-202605,0.978,1.18,5
covid,fl,December 28 - January 31,202601-202605,0.322,0.38,5
covid,ga,December 28 - January 31,202601-202605,0.37999999999999995,0.41,5
covid,hi,December 28 - January 31,202601-202605,0.186,0.22,5
covid,ia,December 28 - January 31,202601-202605,1.584,1.77,5
covid,id,December 28 - January 31,202601-202605,0.538,0.62,5
covid,il,December 28 - January 31,202601-202605,1.544,1.9,5
covid,in,December 28 - January 31,202601-202605,1.342,1.71,5
covid,ks,December 28 - January 31,202601-202605,0.924,1.17,5
covid,ky,December 28 - January 31,202601-202605,1.136,1.25,5
covid,la,December 28 - January 31,202601-202605,0.41200000000000003,0.46,5
covid,ma,December 28 - January 31,202601-202605,0.9480000000000001,1.13,5
covid,md,December 28 - January 31,202601-202605,0.6719999999999999,0.81,5
covid,me,December 28 - January 31,202601-202605,1.2719999999999998,1.46,5
covid,mi,December 28 - January 31,202601-202605,1.406,1.71,5
covid,mn,December 28 - January 31,202601-202605,0.9940000000000001,1.16,5
covid,mo,December 28 - January 31,202601-202605,1.1600000000000001,1.33,5
covid,ms,December 28 - January 31,202601-202605,0.718,0.78,5
covid,mt,December 28 - January 31,202601-202605,0.982,1.16,5
covid,nc,December 28 - January 31,202601-202605,0.538,0.61,5
covid,nd,December 28 - January 31,202601-202605,1.116,1.34,5
covid,ne,December 28 - January 31,202601-202605,0.852,0.95,5
covid,nh,December 28 - January 31,202601-202605,1.1199999999999999,1.28,5
covid,nj,December 28 - January 31,202601-202605,0.684,0.75,5
covid,nm,December 28 - January 31,202601-202605,0.982,1.18,5
covid,nv,December 28 - January 31,202601-202605,0.23600000000000004,0.28,5
covid,ny,December 28 - January 31,202601-202605,0.546,0.62,5
covid,oh,December 28 - January 31,202601-202605,1.278,1.63,5
covid,ok,December 28 - January 31,202601-202605,1.1440000000000001,1.25,5
covid,or,December 28 - January 31,202601-202605,0.21799999999999997,0.26,5
covid,pa,December 28 - January 31,202601-202605,0.9640000000000001,1.22,5
covid,ri,December 28 - January 31,202601-202605,0.86,1.31,5
covid,sc,December 28 - January 31,202601-202605,0.506,0.6,5
covid,sd,December 28 - January 31,202601-202605,1.51,1.68,5
covid,tn,December 28 - January 31,202601-202605,0.6859999999999999,0.88,5
covid,tx,December 28 - January 31,202601-202605,0.356,0.37,5
covid,ut,December 28 - January 31,202601-202605,0.338,0.41,5
covid,va,December 28 - January 31,202601-202605,0.738,0.87,5
covid,vt,December 28 - January 31,202601-202605,0.9620000000000001,1.19,5
covid,wa,December 28 - January 31,202601-202605,0.27,0.3,5
covid,wi,December 28 - January 31,202601-202605,1.444,1.57,5
covid,wv,December 28 - January 31,202601-202605,1.8419999999999999,2.15,5
covid,wy,December 28 - January 31,202601-202605,0.9279999999999999,1.08,5
